Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1597426560,-7.0,2020-08-14 10:36:00,8.76,8.76,8.76,8.76,200
1597426680,-7.0,2020-08-14 10:38:00,8.75,8.75,8.75,8.75,132
1597426800,-7.0,2020-08-14 10:40:00,8.75,8.75,8.75,8.75,130
1597426980,-7.0,2020-08-14 10:43:00,8.76,8.76,8.76,8.76,100
1597427160,-7.0,2020-08-14 10:46:00,8.76,8.76,8.76,8.76,168
1597427400,-7.0,2020-08-14 10:50:00,8.76,8.76,8.76,8.76,200
1597427460,-7.0,2020-08-14 10:51:00,8.75,8.75,8.75,8.75,136
1597427760,-7.0,2020-08-14 10:56:00,8.74,8.74,8.74,8.74,200
1597427880,-7.0,2020-08-14 10:58:00,8.74,8.74,8.74,8.74,100
1597428120,-7.0,2020-08-14 11:02:00,8.74,8.74,8.74,8.74,200
1597428240,-7.0,2020-08-14 11:04:00,8.75,8.75,8.75,8.75,100
1597428600,-7.0,2020-08-14 11:10:00,8.75,8.75,8.75,8.75,100
1597428660,-7.0,2020-08-14 11:11:00,8.74,8.74,8.74,8.74,201
1597428840,-7.0,2020-08-14 11:14:00,8.74,8.74,8.74,8.74,185
1597428900,-7.0,2020-08-14 11:15:00,8.73,8.73,8.73,8.73,225
1597429320,-7.0,2020-08-14 11:22:00,8.76,8.76,8.75,8.75,300
1597432320,-7.0,2020-08-14 12:12:00,8.72,8.72,8.72,8.72,265
1597432380,-7.0,2020-08-14 12:13:00,8.72,8.72,8.72,8.72,116
1597432440,-7.0,2020-08-14 12:14:00,8.73,8.73,8.73,8.73,170
1597432500,-7.0,2020-08-14 12:15:00,8.72,8.72,8.72,8.72,116
1597432560,-7.0,2020-08-14 12:16:00,8.72,8.72,8.72,8.72,170
1597432620,-7.0,2020-08-14 12:17:00,8.72,8.72,8.72,8.72,160
1597432680,-7.0,2020-08-14 12:18:00,8.72,8.72,8.72,8.72,218
1597432740,-7.0,2020-08-14 12:19:00,8.72,8.72,8.7,8.7,471
1597432800,-7.0,2020-08-14 12:20:00,8.7,8.7,8.7,8.7,236
1597432860,-7.0,2020-08-14 12:21:00,8.71,8.71,8.71,8.71,366
1597432980,-7.0,2020-08-14 12:23:00,8.71,8.71,8.71,8.71,289
1597433040,-7.0,2020-08-14 12:24:00,8.71,8.71,8.71,8.71,100
1597433100,-7.0,2020-08-14 12:25:00,8.71,8.71,8.71,8.71,274
1597433160,-7.0,2020-08-14 12:26:00,8.71,8.71,8.71,8.71,179
1597433220,-7.0,2020-08-14 12:27:00,8.7,8.7,8.7,8.7,500
1597433280,-7.0,2020-08-14 12:28:00,8.71,8.71,8.71,8.71,211
1597433340,-7.0,2020-08-14 12:29:00,8.71,8.71,8.71,8.71,215
1597433460,-7.0,2020-08-14 12:31:00,8.72,8.72,8.72,8.72,498
1597433520,-7.0,2020-08-14 12:32:00,8.71,8.71,8.71,8.71,117
1597433580,-7.0,2020-08-14 12:33:00,8.71,8.71,8.71,8.71,278
1597433640,-7.0,2020-08-14 12:34:00,8.71,8.71,8.71,8.71,316
1597433700,-7.0,2020-08-14 12:35:00,8.71,8.71,8.71,8.71,134
1597433760,-7.0,2020-08-14 12:36:00,8.71,8.71,8.71,8.71,530
1597433820,-7.0,2020-08-14 12:37:00,8.71,8.71,8.71,8.71,201
1597433880,-7.0,2020-08-14 12:38:00,8.71,8.71,8.71,8.71,218
1597433940,-7.0,2020-08-14 12:39:00,8.71,8.71,8.71,8.71,300
1597434000,-7.0,2020-08-14 12:40:00,8.71,8.71,8.71,8.71,429
1597434060,-7.0,2020-08-14 12:41:00,8.71,8.72,8.71,8.72,522
1597434240,-7.0,2020-08-14 12:44:00,8.72,8.73,8.72,8.73,1145
1597434300,-7.0,2020-08-14 12:45:00,8.73,8.73,8.73,8.73,116
1597434360,-7.0,2020-08-14 12:46:00,8.72,8.72,8.72,8.72,233
1597434420,-7.0,2020-08-14 12:47:00,8.72,8.72,8.72,8.72,179
1597434480,-7.0,2020-08-14 12:48:00,8.72,8.72,8.72,8.72,328
1597434540,-7.0,2020-08-14 12:49:00,8.72,8.72,8.71,8.71,300
1597434600,-7.0,2020-08-14 12:50:00,8.71,8.71,8.71,8.71,176
1597434660,-7.0,2020-08-14 12:51:00,8.71,8.71,8.71,8.71,600
1597434780,-7.0,2020-08-14 12:53:00,8.71,8.71,8.71,8.71,638
1597434840,-7.0,2020-08-14 12:54:00,8.71,8.71,8.71,8.71,375
1597434900,-7.0,2020-08-14 12:55:00,8.71,8.71,8.71,8.71,209
1597434960,-7.0,2020-08-14 12:56:00,8.72,8.72,8.72,8.72,218
1597435020,-7.0,2020-08-14 12:57:00,8.72,8.72,8.72,8.72,437
1597435080,-7.0,2020-08-14 12:58:00,8.72,8.72,8.72,8.72,174
1597435140,-7.0,2020-08-14 12:59:00,8.72,8.72,8.72,8.72,1513
1597671000,-7.0,2020-08-17 06:30:00,8.51,8.51,8.51,8.51,2074
1597671120,-7.0,2020-08-17 06:32:00,8.74,8.7424,8.74,8.7424,500
1597689420,-7.0,2020-08-17 11:37:00,8.74,8.74,8.74,8.74,400
1597757400,-7.0,2020-08-18 06:30:00,8.77,8.77,8.77,8.77,244
1597763400,-7.0,2020-08-18 08:10:00,8.65,8.65,8.64,8.64,800
1597768200,-7.0,2020-08-18 09:30:00,8.56,8.56,8.56,8.56,201
1597769580,-7.0,2020-08-18 09:53:00,8.545,8.545,8.545,8.545,113
1597769640,-7.0,2020-08-18 09:54:00,8.54,8.55,8.54,8.55,646
1597776840,-7.0,2020-08-18 11:54:00,8.5503,8.5503,8.5503,8.5503,190
1597777560,-7.0,2020-08-18 12:06:00,8.52,8.52,8.52,8.52,100
1597777680,-7.0,2020-08-18 12:08:00,8.52,8.52,8.52,8.52,5310
1597778160,-7.0,2020-08-18 12:16:00,8.55,8.55,8.55,8.55,159
1597778640,-7.0,2020-08-18 12:24:00,8.53,8.53,8.53,8.53,159
1597779600,-7.0,2020-08-18 12:40:00,8.52,8.52,8.52,8.52,195
1597779660,-7.0,2020-08-18 12:41:00,8.52,8.52,8.52,8.52,128
1597779780,-7.0,2020-08-18 12:43:00,8.52,8.52,8.52,8.52,126
1597780020,-7.0,2020-08-18 12:47:00,8.51,8.51,8.51,8.51,195
1597780140,-7.0,2020-08-18 12:49:00,8.51,8.51,8.51,8.51,217
1597780200,-7.0,2020-08-18 12:50:00,8.51,8.51,8.51,8.51,126
